,round,date,time,Home Team,Away Team,h2h_home_wins,h2h_away_wins,h2h_draws,matches_won_tot_home,matches_loss_tot_home,avg_goal_conceded_home,mean_points_per_match_home,mean_shots_home,mean_shots_on_target_home,mean_fouls_home,mean_yellow_cards_home,home_win_ratio_home,matches_won_tot_away,matches_loss_tot_away,avg_goal_conceded_away,mean_points_per_match_away,mean_shots_away,mean_shots_on_target_away,mean_fouls_away,mean_yellow_cards_away,away_win_ratio
180,Matchday 19,2025-01-11,,Espanol,Leganes,2,2,0,4,11,30,0.8333333333333334,9.61111111111111,2.4444444444444446,14.0,2.7222222222222223,0.4444444444444444,4,8,28,1.0,7.555555555555555,2.6666666666666665,13.38888888888889,2.1666666666666665,0.4444444444444444
181,Matchday 19,2025-01-12,,Ath Bilbao,Real Madrid,2,9,3,10,3,17,1.894736842105263,11.736842105263158,4.052631578947368,13.473684210526315,2.0526315789473686,1.0,12,2,18,2.2222222222222223,15.0,6.333333333333333,9.0,1.5555555555555556,1.3333333333333333
182,Matchday 19,2025-01-12,,Ath Madrid,Osasuna,7,1,1,12,1,12,2.2777777777777777,11.833333333333334,4.833333333333333,10.722222222222221,2.1666666666666665,1.3333333333333333,6,5,27,1.3888888888888888,9.777777777777779,3.2777777777777777,13.38888888888889,2.2777777777777777,0.75
183,Matchday 19,2025-01-12,,Alaves,Girona,1,1,1,4,9,30,0.9444444444444444,10.722222222222221,3.5,15.666666666666666,2.6666666666666665,0.5,7,7,25,1.3888888888888888,11.277777777777779,3.888888888888889,11.38888888888889,2.388888888888889,0.7777777777777778
184,Matchday 19,2025-01-12,,Sevilla,Valencia,7,3,3,6,8,27,1.2222222222222223,11.61111111111111,3.9444444444444446,11.833333333333334,2.6666666666666665,0.6666666666666666,2,9,26,0.7058823529411765,9.647058823529411,3.0,11.823529411764707,2.2941176470588234,0.2222222222222222
185,Matchday 19,2025-01-12,,Vallecano,Celta,5,0,3,5,6,21,1.2222222222222223,12.833333333333334,3.5555555555555554,14.222222222222221,2.611111111111111,0.625,7,8,28,1.3333333333333333,11.38888888888889,4.277777777777778,11.11111111111111,2.4444444444444446,0.875
186,Matchday 19,2025-01-12,,Mallorca,Barcelona,0,6,1,9,7,21,1.5789473684210527,10.052631578947368,3.5789473684210527,11.68421052631579,2.1578947368421053,0.9,12,5,22,2.0,16.842105263157894,6.526315789473684,9.105263157894736,1.736842105263158,1.0909090909090908
187,Matchday 19,2025-01-12,,Sociedad,Villarreal,2,7,3,7,7,13,1.3888888888888888,10.777777777777779,3.7777777777777777,13.88888888888889,2.3333333333333335,0.7777777777777778,8,4,30,1.6666666666666667,14.166666666666666,4.777777777777778,12.0,3.0555555555555554,0.8888888888888888
188,Matchday 19,2025-01-12,,Valladolid,Betis,1,2,3,3,12,37,0.6666666666666666,8.277777777777779,2.3333333333333335,12.777777777777779,2.9444444444444446,0.3333333333333333,6,5,22,1.3888888888888888,13.666666666666666,4.888888888888889,11.555555555555555,1.8888888888888888,0.6666666666666666
189,Matchday 19,2025-01-12,,Las Palmas,Getafe,2,1,0,6,8,27,1.2222222222222223,10.61111111111111,3.9444444444444446,11.944444444444445,2.7222222222222223,0.6666666666666666,3,8,15,0.8888888888888888,12.5,3.1666666666666665,17.055555555555557,2.8333333333333335,0.375
190,Matchday 20,2025-01-19,,Betis,Alaves,3,2,2,6,5,22,1.3888888888888888,13.666666666666666,4.888888888888889,11.555555555555555,1.8888888888888888,0.6666666666666666,4,9,30,0.9444444444444444,10.722222222222221,3.5,15.666666666666666,2.6666666666666665,0.4
191,Matchday 20,2025-01-19,,Osasuna,Vallecano,5,0,1,6,5,27,1.3888888888888888,9.777777777777779,3.2777777777777777,13.38888888888889,2.2777777777777777,0.6,5,6,21,1.2222222222222223,12.833333333333334,3.5555555555555554,14.222222222222221,2.611111111111111,0.5
192,Matchday 20,2025-01-19,,Leganes,Ath Madrid,0,1,3,4,8,28,1.0,7.555555555555555,2.6666666666666665,13.38888888888889,2.1666666666666665,0.4444444444444444,12,1,12,2.2777777777777777,11.833333333333334,4.833333333333333,10.722222222222221,2.1666666666666665,1.3333333333333333
193,Matchday 20,2025-01-19,,Celta,Ath Bilbao,4,5,3,7,8,28,1.3333333333333333,11.38888888888889,4.277777777777778,11.11111111111111,2.4444444444444446,0.7,10,3,17,1.894736842105263,11.736842105263158,4.052631578947368,13.473684210526315,2.0526315789473686,1.1111111111111112
194,Matchday 20,2025-01-19,,Getafe,Barcelona,2,6,4,3,8,15,0.8888888888888888,12.5,3.1666666666666665,17.055555555555557,2.8333333333333335,0.3,12,5,22,2.0,16.842105263157894,6.526315789473684,9.105263157894736,1.736842105263158,1.0909090909090908
195,Matchday 20,2025-01-19,,Girona,Sevilla,3,1,0,7,7,25,1.3888888888888888,11.277777777777779,3.888888888888889,11.38888888888889,2.388888888888889,0.7777777777777778,6,8,27,1.2222222222222223,11.61111111111111,3.9444444444444446,11.833333333333334,2.6666666666666665,0.6666666666666666
196,Matchday 20,2025-01-19,,Valencia,Sociedad,3,6,4,2,9,26,0.7058823529411765,9.647058823529411,3.0,11.823529411764707,2.2941176470588234,0.25,7,7,13,1.3888888888888888,10.777777777777779,3.7777777777777777,13.88888888888889,2.3333333333333335,0.7777777777777778
197,Matchday 20,2025-01-19,,Villarreal,Mallorca,3,1,1,8,4,30,1.6666666666666667,14.166666666666666,4.777777777777778,12.0,3.0555555555555554,0.8888888888888888,9,7,21,1.5789473684210527,10.052631578947368,3.5789473684210527,11.68421052631579,2.1578947368421053,1.0
198,Matchday 20,2025-01-19,,Real Madrid,Las Palmas,3,0,1,12,2,18,2.2222222222222223,15.0,6.333333333333333,9.0,1.5555555555555556,1.3333333333333333,6,8,27,1.2222222222222223,10.61111111111111,3.9444444444444446,11.944444444444445,2.7222222222222223,0.6666666666666666
199,Matchday 20,2025-01-19,,Espanol,Valladolid,3,1,1,4,11,30,0.8333333333333334,9.61111111111111,2.4444444444444446,14.0,2.7222222222222223,0.4444444444444444,3,12,37,0.6666666666666666,8.277777777777779,2.3333333333333335,12.777777777777779,2.9444444444444446,0.3333333333333333
